1714354368, evm, v0.34.1, flipper, 25, solc 0.8.1, --instance-count 1 --call-count 2000
1714354338, ink-wasm, v1.0.0, flipper, 23, ink! 4.3.0, --instance-count 1 --call-count 2000
1714354332, sol-wasm, v1.0.0, flipper, 21, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714379388, evm, v0.34.1, flipper, 18, solc 0.8.1, --instance-count 1 --call-count 2000
1714379364, ink-wasm, v1.0.0, flipper, 23, ink! 4.3.0, --instance-count 1 --call-count 2000
1714379352, sol-wasm, v1.0.0, flipper, 14, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714398936, evm, v0.34.1, flipper, 13, solc 0.8.1, --instance-count 1 --call-count 2000
1714398930, ink-wasm, v1.0.0, flipper, 23, ink! 4.3.0, --instance-count 1 --call-count 2000
1714398930, sol-wasm, v1.0.0, flipper, 21, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714440744, evm, v0.34.1, flipper, 24, solc 0.8.1, --instance-count 1 --call-count 2000
1714440720, ink-wasm, v1.0.0, flipper, 23, ink! 4.3.0, --instance-count 1 --call-count 2000
1714440720, sol-wasm, v1.0.0, flipper, 21, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714486152, evm, v0.34.1, flipper, 26, solc 0.8.1, --instance-count 1 --call-count 2000
1714486182, ink-wasm, v1.0.0, flipper, 23, ink! 4.3.0, --instance-count 1 --call-count 2000
1714486158, sol-wasm, v1.0.0, flipper, 22, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714493124, evm, v0.34.1, flipper, 27, solc 0.8.1, --instance-count 1 --call-count 2000
1714493106, ink-wasm, v1.0.0, flipper, 23, ink! 4.3.0, --instance-count 1 --call-count 2000
1714493124, sol-wasm, v1.0.0, flipper, 21, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714527163, evm, v0.34.1, flipper, 28, solc 0.8.1, --instance-count 1 --call-count 2000
1714527150, ink-wasm, v1.0.0, flipper, 23, ink! 4.3.0, --instance-count 1 --call-count 2000
1714527132, sol-wasm, v1.0.0, flipper, 22, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714613520, evm, v0.34.1, flipper, 27, solc 0.8.1, --instance-count 1 --call-count 2000
1714613490, ink-wasm, v1.0.0, flipper, 23, ink! 4.3.0, --instance-count 1 --call-count 2000
1714613484, sol-wasm, v1.0.0, flipper, 21, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714699885, evm, v0.34.1, flipper, 28, solc 0.8.1, --instance-count 1 --call-count 2000
1714699854, ink-wasm, v1.0.0, flipper, 23, ink! 4.3.0, --instance-count 1 --call-count 2000
1714699836, sol-wasm, v1.0.0, flipper, 21, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715391060, evm, v0.34.1, flipper, 26.07, solc 0.8.1, --instance-count 1 --call-count 2000
1715391090, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1715391078, sol-wasm, v1.0.0, flipper, 20.33, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715477676, evm, v0.34.1, flipper, 26.85, solc 0.8.1, --instance-count 1 --call-count 2000
1715477640, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1715477646, sol-wasm, v1.0.0, flipper, 21.60, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715563897, evm, v0.34.1, flipper, 28.60, solc 0.8.1, --instance-count 1 --call-count 2000
1715563914, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1715563878, sol-wasm, v1.0.0, flipper, 21.19, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715650338, evm, v0.34.1, flipper, 26.17, solc 0.8.1, --instance-count 1 --call-count 2000
1715650338, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1715650356, sol-wasm, v1.0.0, flipper, 20.28, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715697331, evm, v0.34.1, flipper, 28.37, solc 0.8.1, --instance-count 1 --call-count 2000
1715697378, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1715697384, sol-wasm, v1.0.0, flipper, 21.88, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715736732, evm, v0.34.1, flipper, 26.93, solc 0.8.1, --instance-count 1 --call-count 2000
1715736708, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1715736714, sol-wasm, v1.0.0, flipper, 20.82, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715823096, evm, v0.34.1, flipper, 27.07, solc 0.8.1, --instance-count 1 --call-count 2000
1715823120, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1715823084, sol-wasm, v1.0.0, flipper, 20.59, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715909490, evm, v0.34.1, flipper, 24.43, solc 0.8.1, --instance-count 1 --call-count 2000
1715909472, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1715909520, sol-wasm, v1.0.0, flipper, 20.88, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715995866, evm, v0.34.1, flipper, 27.69, solc 0.8.1, --instance-count 1 --call-count 2000
1715995830, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1715995830, sol-wasm, v1.0.0, flipper, 22.12, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716082387, evm, v0.34.1, flipper, 28.48, solc 0.8.1, --instance-count 1 --call-count 2000
1716082386, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1716082428, sol-wasm, v1.0.0, flipper, 22.04, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716168684, evm, v0.34.1, flipper, 26.46, solc 0.8.1, --instance-count 1 --call-count 2000
1716168654, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1716168672, sol-wasm, v1.0.0, flipper, 20.76, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716255126, evm, v0.34.1, flipper, 26.18, solc 0.8.1, --instance-count 1 --call-count 2000
1716255096, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1716255114, sol-wasm, v1.0.0, flipper, 21.99, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716341509, evm, v0.34.1, flipper, 28.35, solc 0.8.1, --instance-count 1 --call-count 2000
1716341472, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1716341454, sol-wasm, v1.0.0, flipper, 20.85, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716427818, evm, v0.34.1, flipper, 24.47, solc 0.8.1, --instance-count 1 --call-count 2000
1716427818, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1716427824, sol-wasm, v1.0.0, flipper, 20.73, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716514308, evm, v0.34.1, flipper, 27.28, solc 0.8.1, --instance-count 1 --call-count 2000
1716514278, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1716514290, sol-wasm, v1.0.0, flipper, 21.60, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716600709, evm, v0.34.1, flipper, 23.90, solc 0.8.1, --instance-count 1 --call-count 2000
1716600678, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1716600684, sol-wasm, v1.0.0, flipper, 21.73, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716687175, evm, v0.34.1, flipper, 28.18, solc 0.8.1, --instance-count 1 --call-count 2000
1716687174, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1716687198, sol-wasm, v1.0.0, flipper, 21.57, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716773538, evm, v0.34.1, flipper, 27.07, solc 0.8.1, --instance-count 1 --call-count 2000
1716773526, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1716773526, sol-wasm, v1.0.0, flipper, 21.61, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716859896, evm, v0.34.1, flipper, 26.89, solc 0.8.1, --instance-count 1 --call-count 2000
1716859878, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1716859878, sol-wasm, v1.0.0, flipper, 22.29, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716946285, evm, v0.34.1, flipper, 28.40, solc 0.8.1, --instance-count 1 --call-count 2000
1716946266, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1716946272, sol-wasm, v1.0.0, flipper, 21.24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717119085, evm, v0.34.1, flipper, 27.88, solc 0.8.1, --instance-count 1 --call-count 2000
1717119060, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1717119084, sol-wasm, v1.0.0, flipper, 22.04, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717205526, evm, v0.34.1, flipper, 26.82, solc 0.8.1, --instance-count 1 --call-count 2000
1717205526, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1717205520, sol-wasm, v1.0.0, flipper, 21.35, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717291992, evm, v0.34.1, flipper, 26.25, solc 0.8.1, --instance-count 1 --call-count 2000
1717291956, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1717291950, sol-wasm, v1.0.0, flipper, 22.11, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717378392, evm, v0.34.1, flipper, 27.42, solc 0.8.1, --instance-count 1 --call-count 2000
1717378386, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1717378386, sol-wasm, v1.0.0, flipper, 20.61, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717464780, evm, v0.34.1, flipper, 27.25, solc 0.8.1, --instance-count 1 --call-count 2000
1717464786, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1717464756, sol-wasm, v1.0.0, flipper, 21.42, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717551078, evm, v0.34.1, flipper, 26.25, solc 0.8.1, --instance-count 1 --call-count 2000
1717551066, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1717551078, sol-wasm, v1.0.0, flipper, 20.49, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717637490, evm, v0.34.1, flipper, 25.92, solc 0.8.1, --instance-count 1 --call-count 2000
1717637460, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1717637664, sol-wasm, v1.0.0, flipper, 21.26, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717723873, evm, v0.34.1, flipper, 28.67, solc 0.8.1, --instance-count 1 --call-count 2000
1717723872, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1717723878, sol-wasm, v1.0.0, flipper, 21.33, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717810332, evm, v0.34.1, flipper, 27.26, solc 0.8.1, --instance-count 1 --call-count 2000
1717810332, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1717810302, sol-wasm, v1.0.0, flipper, 20.77, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717896858, evm, v0.34.1, flipper, 26.06, solc 0.8.1, --instance-count 1 --call-count 2000
1717896840, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1717896840, sol-wasm, v1.0.0, flipper, 22.14, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717983180, evm, v0.34.1, flipper, 27.17, solc 0.8.1, --instance-count 1 --call-count 2000
1717983168, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1717983162, sol-wasm, v1.0.0, flipper, 20.80, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718156010, evm, v0.34.1, flipper, 27.75, solc 0.8.1, --instance-count 1 --call-count 2000
1718155962, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1718155968, sol-wasm, v1.0.0, flipper, 21.80, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718242374, evm, v0.34.1, flipper, 26.82, solc 0.8.1, --instance-count 1 --call-count 2000
1718242350, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1718242326, sol-wasm, v1.0.0, flipper, 21.50, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718328936, evm, v0.34.1, flipper, 26.92, solc 0.8.1, --instance-count 1 --call-count 2000
1718328690, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1718328696, sol-wasm, v1.0.0, flipper, 21.04, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718415120, evm, v0.34.1, flipper, 27.01, solc 0.8.1, --instance-count 1 --call-count 2000
1718415120, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1718415084, sol-wasm, v1.0.0, flipper, 20.63, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718501676, evm, v0.34.1, flipper, 27.08, solc 0.8.1, --instance-count 1 --call-count 2000
1718501646, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1718501652, sol-wasm, v1.0.0, flipper, 21.27, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718587938, evm, v0.34.1, flipper, 27.42, solc 0.8.1, --instance-count 1 --call-count 2000
1718587908, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1718587926, sol-wasm, v1.0.0, flipper, 21.15, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718674321, evm, v0.34.1, flipper, 28.52, solc 0.8.1, --instance-count 1 --call-count 2000
1718674308, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1718674320, sol-wasm, v1.0.0, flipper, 20.81, Solidity 0.3.2, --instance-count 1 --call-count 2000
