1714432350, evm, v0.34.1, erc20, 27, solc 0.8.1, --instance-count 1 --call-count 2000
1714432242, ink-wasm, polkadot-v1.7.0, erc20, 33, ink! 4.3.0, --instance-count 1 --call-count 2000
1714432374, sol-wasm, polkadot-v1.7.0, erc20, 10, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714474572, evm, v0.34.1, erc20, 25, solc 0.8.1, --instance-count 1 --call-count 2000
1714474464, ink-wasm, polkadot-v1.7.0, erc20, 22, ink! 4.3.0, --instance-count 1 --call-count 2000
1714474434, sol-wasm, polkadot-v1.7.0, erc20, 33, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714481760, evm, v0.34.1, erc20, 25, solc 0.8.1, --instance-count 1 --call-count 2000
1714481688, ink-wasm, polkadot-v1.7.0, erc20, 22, ink! 4.3.0, --instance-count 1 --call-count 2000
1714481802, sol-wasm, polkadot-v1.7.0, erc20, 10, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714682748, evm, v0.34.1, erc20, 26, solc 0.8.1, --instance-count 1 --call-count 2000
1714682778, ink-wasm, polkadot-v1.7.0, erc20, 22, ink! 4.3.0, --instance-count 1 --call-count 2000
1714682814, sol-wasm, polkadot-v1.7.0, erc20, 10, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714690974, evm, v0.34.1, erc20, , solc 0.8.1, --instance-count 1 --call-count 2000
1714690908, ink-wasm, polkadot-v1.7.0, erc20, , ink! 4.3.0, --instance-count 1 --call-count 2000
1714691004, sol-wasm, polkadot-v1.7.0, erc20, , Solidity 0.3.2, --instance-count 1 --call-count 2000
1714742292, evm, v0.34.1, erc20, , solc 0.8.1, --instance-count 1 --call-count 2000
1714742256, ink-wasm, polkadot-v1.7.0, erc20, , ink! 4.3.0, --instance-count 1 --call-count 2000
1714742358, sol-wasm, polkadot-v1.7.0, erc20, , Solidity 0.3.2, --instance-count 1 --call-count 2000
