1714432344, evm, v0.34.1, flipper, 25, solc 0.8.1, --instance-count 1 --call-count 2000
1714432248, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1714432266, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714474548, evm, v0.34.1, flipper, 26, solc 0.8.1, --instance-count 1 --call-count 2000
1714474458, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1714474476, sol-wasm, polkadot-v1.7.0, flipper, 23, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714481755, evm, v0.34.1, flipper, 28, solc 0.8.1, --instance-count 1 --call-count 2000
1714481700, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1714481694, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714682736, evm, v0.34.1, flipper, 27, solc 0.8.1, --instance-count 1 --call-count 2000
1714682670, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1714682670, sol-wasm, polkadot-v1.7.0, flipper, 27, Solidity 0.3.2, --instance-count 1 --call-count 2000
