1714432362, evm, v0.34.1, storage-write, 22, solc 0.8.1, --instance-count 1 --call-count 2000
1714432416, ink-wasm, polkadot-v1.7.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714432404, sol-wasm, polkadot-v1.7.0, storage-write, 8, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714474531, evm, v0.34.1, storage-write, 20, solc 0.8.1, --instance-count 1 --call-count 2000
1714474656, ink-wasm, polkadot-v1.7.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714474620, sol-wasm, polkadot-v1.7.0, storage-write, 8, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714481761, evm, v0.34.1, storage-write, 20, solc 0.8.1, --instance-count 1 --call-count 2000
1714481856, ink-wasm, polkadot-v1.7.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714481856, sol-wasm, polkadot-v1.7.0, storage-write, 8, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714682754, evm, v0.34.1, storage-write, 20, solc 0.8.1, --instance-count 1 --call-count 2000
1714682844, ink-wasm, polkadot-v1.7.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714682760, sol-wasm, polkadot-v1.7.0, storage-write, 12, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714690974, evm, v0.34.1, storage-write, , solc 0.8.1, --instance-count 1 --call-count 2000
1714691088, ink-wasm, polkadot-v1.7.0, storage-write, , ink! 4.3.0, --instance-count 1 --call-count 2000
1714691064, sol-wasm, polkadot-v1.7.0, storage-write, , Solidity 0.3.2, --instance-count 1 --call-count 2000
1714742310, evm, v0.34.1, storage-write, , solc 0.8.1, --instance-count 1 --call-count 2000
1714742418, ink-wasm, polkadot-v1.7.0, storage-write, , ink! 4.3.0, --instance-count 1 --call-count 2000
1714742394, sol-wasm, polkadot-v1.7.0, storage-write, , Solidity 0.3.2, --instance-count 1 --call-count 2000
